sentence id	token id	token	BIO NER tag
0	0	Good	O
0	1	.	O
1	0	It	O
1	1	IS	O
1	2	a	O
1	3	page	O
1	4	turner	O
1	5	.	O
2	0	You	O
2	1	can	O
2	2	read	O
2	3	this	O
2	4	book	O
2	5	in	O
2	6	one	O
2	7	day	O
2	8	,	O
2	9	two	O
2	10	at	O
2	11	the	O
2	12	most	O
2	13	,	O
2	14	and	O
2	15	the	O
2	16	plot	O
2	17	drives	O
2	18	the	O
2	19	whole	O
2	20	book	O
2	21	.	O
3	0	The	O
3	1	unreliable	O
3	2	narrators	O
3	3	(	O
3	4	there	O
3	5	are	O
3	6	two	O
3	7	besides	O
3	8	the	O
3	9	main	O
3	10	character	O
3	11	)	O
3	12	are	O
3	13	as	O
3	14	unlikable	O
3	15	as	O
3	16	they	O
3	17	are	O
3	18	unreliable	O
3	19	,	O
3	20	and	O
3	21	there	O
3	22	is	O
3	23	n't	O
3	24	a	O
3	25	nice	O
3	26	male	O
3	27	in	O
3	28	the	O
3	29	book	O
3	30	.	O
4	0	Entirely	O
4	1	plot	O
4	2	driven	O
4	3	;	O
4	4	the	O
4	5	characters	O
4	6	are	O
4	7	paper	O
4	8	thin	O
4	9	.	O
5	0	You	O
5	1	can	O
5	2	figure	O
5	3	out	O
5	4	who	O
5	5	-	O
5	6	dunnit	O
5	7	by	O
5	8	the	O
5	9	middle	O
5	10	of	O
5	11	the	O
5	12	book	O
5	13	.	O
6	0	The	O
6	1	ending	O
6	2	is	O
6	3	weak	O
6	4	.	O
7	0	I	O
7	1	ca	O
7	2	n't	O
7	3	imagine	O
7	4	what	O
7	5	all	O
7	6	the	O
7	7	fuss	O
7	8	is	O
7	9	about	O
7	10	,	O
7	11	except	O
7	12	that	O
7	13	it	O
7	14	is	O
7	15	quick	O
7	16	and	O
7	17	there	O
7	18	are	O
7	19	lots	O
7	20	of	O
7	21	twists	O
7	22	and	O
7	23	turns	O
7	24	,	O
7	25	and	O
7	26	you	O
7	27	ca	O
7	28	n't	O
7	29	trust	O
7	30	anyone	O
7	31	to	O
7	32	tell	O
7	33	the	O
7	34	truth	O
7	35	.	O
8	0	There	O
8	1	are	O
8	2	no	O
8	3	words	O
8	4	for	O
8	5	how	O
8	6	much	O
8	7	I	O
8	8	loathed	O
8	9	this	O
8	10	book	O
8	11	.	O
9	0	This	O
9	1	was	O
9	2	the	O
9	3	first	O
9	4	audiobook	O
9	5	I	O
9	6	ever	O
9	7	listened	O
9	8	to	O
9	9	so	O
9	10	not	O
9	11	sure	O
9	12	if	O
9	13	something	O
9	14	was	O
9	15	lost	O
9	16	in	O
9	17	translation	O
9	18	here	O
9	19	,	O
9	20	if	O
9	21	I	O
9	22	just	O
9	23	disliked	O
9	24	the	O
9	25	narrators	O
9	26	,	O
9	27	or	O
9	28	if	O
9	29	it	O
9	30	is	O
9	31	truly	O
9	32	the	O
9	33	book	O
9	34	I	O
9	35	hated	O
9	36	-	O
9	37	but	O
9	38	man	O
10	0	oh	O
10	1	man	O
10	2	I	O
10	3	hated	O
10	4	this	O
10	5	book	O
10	6	and	O
10	7	have	O
10	8	no	O
10	9	idea	O
10	10	what	O
10	11	the	O
10	12	hype	O
10	13	is	O
10	14	about	O
10	15	.	O
11	0	Maybe	O
11	1	if	O
11	2	I	O
11	3	READ	O
11	4	it	O
11	5	I	O
11	6	would	O
11	7	have	O
11	8	liked	O
11	9	it	O
11	10	better	O
11	11	but	O
11	12	none	O
11	13	of	O
11	14	the	O
11	15	characters	O
11	16	were	O
11	17	likable	O
11	18	,	O
11	19	the	O
11	20	narration	O
11	21	was	O
11	22	rote	O
11	23	and	O
11	24	emotionless	O
11	25	,	O
11	26	and	O
11	27	the	O
11	28	writing	O
11	29	was	O
11	30	so	O
11	31	...	O
11	32	basic	O
11	33	.	O
12	0	""""	O
12	1	I	O
12	2	sat	O
12	3	on	O
12	4	the	O
12	5	bed	O
12	6	.	O
13	0	I	O
13	1	got	O
13	2	off	O
13	3	the	O
13	4	bed	O
13	5	.	O
14	0	I	O
14	1	sat	O
14	2	back	O
14	3	on	O
14	4	the	O
14	5	bed	O
14	6	.	O
15	0	I	O
15	1	poured	O
15	2	myself	O
15	3	another	O
15	4	drink	O
15	5	,	O
15	6	I	O
15	7	do	O
15	8	n't	O
15	9	want	O
15	10	to	O
15	11	drink	O
15	12	.	O
16	0	I	O
16	1	ca	O
16	2	n't	O
16	3	stop	O
16	4	myself	O
16	5	.	O
17	0	I	O
17	1	'm	O
17	2	going	O
17	3	to	O
17	4	drink	O
17	5	.	O
17	6	""""	O
18	0	Not	O
18	1	a	O
18	2	direct	O
18	3	quote	O
18	4	from	O
18	5	the	O
18	6	book	O
18	7	but	O
18	8	you	O
18	9	get	O
18	10	the	O
18	11	picture	O
18	12	.	O
19	0	I	O
19	1	thought	O
19	2	it	O
19	3	went	O
19	4	way	O
19	5	longer	O
19	6	than	O
19	7	necessary	O
19	8	.	O
20	0	I	O
20	1	honestly	O
20	2	ca	O
20	3	n't	O
20	4	figure	O
20	5	out	O
20	6	why	O
20	7	everyone	O
20	8	was	O
20	9	in	O
20	10	love	O
20	11	with	O
20	12	this	O
20	13	book	O
20	14	.	O
21	0	I	O
21	1	think	O
21	2	I	O
21	3	would	O
21	4	ordinarily	O
21	5	cut	O
21	6	this	O
21	7	book	O
21	8	more	O
21	9	of	O
21	10	a	O
21	11	break	O
21	12	because	O
21	13	it	O
21	14	is	O
21	15	fast	O
21	16	-	O
21	17	paced	O
21	18	-	O
21	19	Hawkins	O
21	20	wastes	O
21	21	zero	O
21	22	time	O
21	23	describing	O
21	24	anything	O
21	25	that	O
21	26	does	O
21	27	n't	O
21	28	have	O
21	29	to	O
21	30	do	O
21	31	with	O
21	32	exactly	O
21	33	what	O
21	34	is	O
21	35	going	O
21	36	on	O
21	37	in	O
21	38	the	O
21	39	moment	O
21	40	-	O
21	41	and	O
21	42	while	O
21	43	that	O
21	44	does	O
21	45	n't	O
21	46	make	O
21	47	her	O
21	48	a	O
21	49	great	O
21	50	writer	O
21	51	,	O
21	52	there	O
21	53	is	O
21	54	absolutely	O
21	55	nothing	O
21	56	here	O
21	57	that	O
21	58	will	O
21	59	transcend	O
21	60	,	O
21	61	or	O
